sample_index,client_id,class_id
0,1,0
1,0,5
2,0,5
3,0,5
4,0,4
5,0,5
6,0,4
7,0,5
8,0,5
9,0,5
10,1,2
11,0,5
12,1,1
13,0,5
14,0,4
15,0,5
16,1,2
17,0,5
18,0,5
19,0,5
20,0,5
21,0,5
22,0,5
23,2,6
24,1,2
25,0,5
26,0,5
27,0,5
28,0,5
29,0,5
30,1,2
31,0,4
32,0,5
33,1,1
34,0,5
35,0,4
36,0,5
37,0,4
38,0,5
39,0,4
40,0,5
41,0,5
42,0,5
43,1,2
44,1,2
45,0,5
46,0,5
47,1,2
48,0,5
49,2,6
50,0,4
51,0,5
52,0,5
53,0,5
54,0,5
55,1,2
56,0,5
57,0,4
58,0,5
59,0,5
60,0,4
61,0,5
62,0,5
63,1,1
64,1,0
65,0,5
66,1,0
67,2,3
68,1,0
69,0,5
70,0,5
71,1,2
72,1,0
73,0,5
74,0,5
75,0,5
76,0,5
77,0,5
78,0,5
79,0,5
80,0,5
81,0,5
82,0,5
83,0,5
84,0,5
85,0,5
86,0,4
87,1,2
88,0,5
89,1,2
90,0,4
91,1,0
92,0,5
93,1,1
94,0,5
95,0,4
96,0,5
97,0,5
98,2,6
99,0,5
100,1,2
101,0,5
102,0,5
103,0,5
104,1,1
105,0,5
106,0,5
107,0,5
108,0,4
109,0,5
110,1,2
111,1,2
112,0,5
113,0,5
114,0,4
115,0,5
116,1,2
117,0,5
118,0,5
119,0,5
120,0,5
121,1,2
122,0,5
123,0,5
124,0,4
125,0,4
126,0,5
127,0,5
128,0,5
129,0,5
130,2,3
131,0,5
132,0,4
133,0,5
134,1,2
135,0,5
136,0,5
137,0,5
138,1,2
139,0,5
140,0,5
141,0,5
142,2,6
143,0,5
144,1,0
145,0,5
146,0,5
147,0,4
148,0,5
149,0,5
150,0,5
151,0,5
152,0,5
153,1,2
154,0,5
155,0,5
156,0,5
157,0,5
158,0,5
159,1,2
160,0,5
161,0,4
162,1,1
163,0,5
164,1,2
165,1,1
166,0,4
167,0,5
168,0,5
169,0,5
170,1,0
171,0,5
172,0,5
173,0,4
174,0,5
175,0,4
176,1,2
177,0,5
178,0,5
179,0,5
180,1,0
181,0,5
182,0,4
183,0,5
184,0,5
185,0,4
186,1,2
187,0,5
188,0,5
189,0,4
190,1,2
191,1,1
192,0,5
193,0,5
194,0,5
195,0,5
196,1,1
197,0,5
198,0,5
199,1,0
200,0,5
201,0,5
202,0,5
203,0,5
204,0,5
205,0,5
206,0,5
207,1,1
208,0,5
209,1,1
210,1,1
211,0,5
212,0,5
213,0,5
214,0,5
215,0,5
216,1,2
217,0,5
218,0,5
219,2,6
220,0,5
221,1,1
222,1,1
223,0,5
224,1,2
225,0,5
226,0,5
227,0,5
228,0,5
229,0,5
230,0,5
231,0,4
232,0,5
233,1,2
234,0,5
235,0,5
236,0,5
237,0,5
238,0,5
239,0,5
240,0,4
241,0,5
242,0,5
243,0,5
244,0,5
245,1,2
246,1,1
247,0,5
248,1,2
249,1,1
250,0,5
251,0,5
252,0,5
253,0,5
254,0,5
255,1,0
256,0,4
257,0,5
258,0,5
259,0,5
260,0,5
261,0,4
262,0,5
263,0,5
264,0,5
265,0,4
266,0,5
267,0,5
268,0,4
269,0,4
270,2,3
271,1,2
272,0,5
273,0,5
274,0,5
275,1,1
276,0,5
277,1,2
278,0,5
279,1,1
280,0,5
281,0,5
282,0,5
283,0,5
284,0,5
285,0,5
286,0,5
287,0,5
288,0,4
289,0,5
290,0,5
291,0,5
292,0,5
293,0,4
294,0,4
295,0,5
296,0,4
297,0,5
298,0,4
299,0,4
300,0,5
301,0,5
302,1,0
303,0,5
304,0,5
305,0,5
306,0,5
307,2,6
308,0,5
309,1,2
310,1,0
311,0,5
312,0,5
313,0,5
314,0,5
315,1,0
316,2,6
317,0,5
318,0,5
319,1,1
320,1,0
321,0,5
322,2,6
323,0,5
324,0,5
325,0,5
326,0,5
327,0,5
328,0,5
329,0,5
330,2,3
331,0,4
332,0,5
333,1,0
334,2,3
335,0,4
336,1,0
337,0,5
338,1,2
339,0,5
340,0,5
341,0,5
342,0,5
343,0,5
344,0,5
345,0,4
346,1,2
347,0,5
348,0,5
349,0,5
350,0,5
351,0,4
352,0,5
353,0,5
354,0,5
355,0,5
356,0,5
357,1,0
358,0,5
359,0,5
360,0,5
361,0,5
362,0,5
363,0,5
364,1,0
365,1,1
366,0,5
367,1,1
368,0,5
369,0,5
370,0,4
371,0,5
372,0,5
373,0,5
374,0,5
375,1,2
376,0,5
377,0,5
378,0,4
379,0,4
380,0,5
381,0,4
382,0,4
383,0,5
384,1,2
385,0,5
386,0,4
387,1,1
388,1,2
389,1,1
390,1,2
391,1,1
392,0,5
393,0,5
394,0,5
395,0,5
396,0,5
397,0,5
398,1,0
399,0,5
400,0,5
401,1,0
402,0,5
403,0,5
404,0,5
405,0,4
406,0,5
407,2,6
408,0,4
409,0,5
410,0,5
411,0,5
412,0,5
413,0,5
414,0,4
415,2,6
416,0,5
417,0,5
418,0,4
419,0,5
420,0,5
421,0,5
422,0,5
423,0,5
424,0,5
425,0,5
426,1,1
427,0,5
428,1,2
429,1,2
430,0,5
431,0,4
432,0,5
433,0,5
434,0,5
435,0,5
436,0,4
437,1,2
438,0,5
439,0,5
440,0,4
441,0,5
442,0,5
443,0,5
444,0,4
445,0,5
446,0,5
447,0,5
448,0,5
449,0,5
450,0,5
451,0,5
452,0,5
453,0,5
454,0,5
455,0,5
456,0,4
457,0,5
458,0,4
459,0,5
460,1,2
461,1,1
462,0,5
463,0,5
464,0,4
465,1,1
466,0,5
467,0,5
468,0,4
469,0,5
470,0,4
471,0,5
472,0,5
473,0,5
474,0,5
475,0,4
476,0,5
477,0,5
478,0,5
479,0,5
480,0,5
481,1,2
482,0,5
483,0,5
484,0,5
485,0,5
486,0,5
487,1,2
488,1,2
489,0,4
490,0,5
491,0,5
492,0,5
493,0,5
494,0,5
495,0,5
496,0,5
497,0,5
498,0,5
499,0,5
500,0,5
501,0,4
502,0,5
503,0,5
504,0,5
505,0,5
506,0,5
507,0,5
508,0,5
509,0,5
510,0,4
511,0,5
512,0,4
513,0,5
514,0,5
515,0,5
516,1,2
517,0,5
518,1,1
519,0,5
520,0,4
521,0,5
522,0,5
523,0,5
524,0,5
525,0,5
526,0,5
527,0,4
528,0,5
529,0,5
530,1,1
531,1,1
532,0,5
533,0,5
534,0,5
535,0,5
536,1,2
537,0,5
538,0,5
539,0,5
540,0,5
541,0,5
542,0,5
543,0,5
544,0,5
545,1,2
546,0,5
547,0,5
548,0,5
549,0,4
550,1,2
551,0,4
552,0,4
553,0,4
554,0,5
555,0,5
556,0,5
557,0,5
558,0,5
559,1,2
560,0,5
561,0,5
562,0,5
563,0,5
564,0,5
565,0,5
566,0,5
567,0,5
568,0,5
569,0,4
570,0,5
571,0,5
572,0,5
573,0,5
574,0,5
575,0,5
576,0,4
577,0,5
578,1,2
579,0,4
580,1,1
581,0,5
582,0,4
583,1,2
584,0,5
585,0,4
586,0,5
587,0,5
588,0,5
589,0,5
590,0,5
591,0,5
592,1,2
593,0,5
594,1,2
595,0,5
596,0,5
597,0,5
598,0,5
599,1,2
600,1,0
601,1,2
602,1,2
603,0,5
604,0,4
605,0,5
606,0,5
607,0,5
608,0,4
609,0,5
610,0,5
611,0,5
612,1,2
613,0,4
614,1,2
615,0,5
616,0,4
617,0,5
618,1,2
619,1,2
620,0,5
621,1,1
622,0,5
623,0,5
624,0,5
625,0,5
626,0,5
627,0,5
628,0,5
629,1,0
630,1,2
631,1,1
632,0,5
633,0,5
634,0,5
635,0,4
636,0,5
637,0,5
638,0,5
639,0,5
640,1,2
641,0,5
642,1,1
643,1,2
644,1,2
645,1,1
646,0,5
647,0,4
648,0,5
649,1,0
650,0,5
651,0,5
652,1,2
653,0,5
654,1,1
655,2,6
656,0,5
657,0,5
658,0,5
659,0,4
660,0,5
661,1,0
662,1,1
663,1,2
664,0,5
665,2,3
666,0,5
667,0,5
668,2,6
669,0,5
670,0,5
671,0,4
672,0,5
673,1,0
674,1,1
675,0,5
676,0,5
677,0,5
678,0,5
679,0,5
680,0,4
681,1,1
682,0,4
683,1,2
684,0,4
685,0,4
686,0,4
687,0,5
688,0,5
689,0,5
690,0,5
691,0,5
692,0,5
693,0,5
694,0,5
695,0,4
696,2,6
697,1,2
698,0,5
699,0,5
700,0,5
701,1,1
702,0,5
703,0,5
704,0,4
705,0,5
706,0,5
707,0,5
708,1,2
709,0,5
710,1,2
711,0,5
712,0,5
713,1,2
714,0,5
715,0,5
716,0,5
717,0,5
718,0,5
719,1,2
720,1,0
721,0,5
722,0,5
723,0,5
724,0,5
725,0,5
726,0,4
727,1,0
728,1,2
729,0,5
730,0,5
731,0,5
732,1,2
733,1,2
734,0,5
735,0,5
736,0,5
737,0,5
738,0,5
739,0,5
740,0,5
741,0,5
742,0,5
743,1,0
744,0,4
745,0,5
746,0,5
747,1,1
748,0,5
749,0,5
750,1,1
751,0,5
752,0,5
753,0,5
754,0,5
755,0,5
756,0,5
757,0,5
758,0,4
759,0,5
760,0,5
761,0,5
762,0,5
763,2,3
764,1,2
765,0,5
766,0,5
767,0,4
768,0,5
769,0,5
770,0,4
771,0,4
772,2,6
773,0,5
774,0,5
775,0,5
776,1,0
777,0,5
778,0,5
779,1,2
780,0,5
781,0,5
782,0,5
783,1,0
784,1,0
785,0,4
786,1,2
787,0,4
788,0,5
789,0,5
790,0,4
791,0,5
792,0,5
793,0,5
794,0,5
795,0,5
796,0,5
797,1,0
798,1,2
799,0,5
800,0,5
801,0,5
802,0,5
803,0,4
804,0,5
805,0,4
806,0,5
807,0,5
808,1,2
809,0,4
810,0,5
811,0,5
812,0,5
813,0,5
814,0,5
815,1,1
816,0,4
817,0,5
818,1,1
819,0,5
820,0,5
821,0,5
822,0,5
823,0,5
824,1,2
825,0,5
826,1,1
827,0,4
828,0,5
829,0,4
830,0,4
831,0,5
832,0,5
833,0,5
834,1,2
835,0,4
836,0,5
837,1,2
838,0,5
839,0,5
840,1,2
841,0,5
842,2,6
843,0,5
844,2,6
845,2,6
846,0,5
847,0,5
848,0,4
849,0,4
850,0,5
851,0,5
852,0,4
853,0,4
854,0,5
855,0,5
856,1,1
857,0,5
858,0,5
859,0,5
860,0,5
861,0,5
862,1,2
863,0,5
864,0,5
865,1,0
866,1,2
867,1,2
868,0,5
869,0,5
870,0,5
871,0,4
872,1,2
873,0,5
874,0,5
875,0,5
876,0,5
877,0,5
878,1,2
879,2,6
880,0,5
881,0,5
882,1,0
883,0,5
884,0,5
885,0,5
886,0,5
887,0,5
888,0,4
889,0,5
890,0,5
891,0,5
892,0,5
893,0,4
894,0,5
895,0,5
896,1,2
897,0,5
898,0,5
899,1,1
900,0,4
901,1,2
902,0,5
903,0,5
904,0,5
905,0,5
906,0,4
907,2,6
908,0,5
909,0,5
910,0,5
911,0,5
912,1,1
913,0,4
914,1,2
915,0,5
916,1,1
917,0,5
918,2,6
919,0,5
920,2,6
921,0,4
922,1,0
