chapter,section_label,section_title,current_issue,exact_material_type_to_shorten,recommended_cut_or_compression,keep_this_content,move_to_appendix_yes_no,estimated_words_saved,risk,rationale,example_report_principle
Results,sec:eval-setting,Evaluation setting and reporting protocol,"Re-derives imbalance + metric/seed protocol already in Methods 4.3/4.11","duplicated dataset/metric narration","Cut to a 3-4 sentence pointer to Methods + keep Table 5.1","RARE_IDX, macro-F1/best-val, seed-tier pointer",no,150,low,"Methods already defines these; Results should reference not repeat","Define once; do not re-derive"
Results,sec:statistical-heterogeneity,Statistical heterogeneity alone,"Per-class deltas narrated though figure+table carry them","repeated numerical narration","Quote only headline Flower delta +0.007 and IID -0.007; let per-class figure carry melanoma/actinic detail","fragile/runtime-sensitive framing, IID control, regenerated-data note",no,120,low,"Table 5.2 + forest + per-class figure already hold the grid","Tables carry numbers; prose quotes decisive cells"
Results,sec:mu-sensitivity,mu sensitivity,"Per-class mu=1.0 deficits restated though per-class table carries them","table already carries numbers","Trim per-class restatement to one clause","inverted-U, catastrophic mu=1.0, bridge to 5.4",no,60,low,"Per-class mu table already present","Tables carry numbers"
Results,sec:li-straggler,Li-style straggler (CENTREPIECE),"Perfect-storm 'why is the gap so large' passage over-narrates a mechanism","mechanism explanation better served by diagram; partly Discussion-level","Compress the perfect-storm/why-so-large prose ~250w to ~100w; relocate broad interpretation to Discussion; consider gamma-inexact/drop schematic","four-condition decomposition, +0.115/+0.111/+0.004 split, L1 contrast, omitted-cell caveat",no,200,medium,"Centrepiece evidence stays; only narration compresses","Results = contrasts/mechanism, not every detail; interpretation deferred to Discussion"
Results,sec:lr-asymmetry,LR asymmetry / FedNova,"Six-ratio envelope narrated row by row","table already carries numbers","Quote 1:1, 5:1, 50:1 anchors only; let Table (lr-envelope) carry the rest","FedNova regime-dependence claim, accuracy-mis-ranks-at-5:1 point, random-tau caveat, regime table",no,250,medium,"The envelope table already lists all six ratios","Tables carry numbers; one headline per subsection"
Results,sec:rare-class-collapse,Rare-class collapse,"'Collapse modes' subsection re-describes 5.4 flatline and 5.5 erosion","repeated transition / cross-section restatement","Merge collapse-modes into one sentence referencing 5.4/5.5","rare->mel-nevi interpretation, weighted-CE falsification, 'motivated not validated'",no,120,medium,"Collapse modes already established in 5.4/5.5","Avoid re-explaining established patterns"
Results,sec:mechanism-robustness,Mechanism and robustness checks,"702w for an explicitly exploratory/non-causal diagnostic; longer than headline sections","appendix-level diagnostic","Summarise update-norms + protocol-flip in ~300w; move Spearman-r detail and flip table to Appendix E","'supporting not causal' framing, protocol-flip conclusion (large effects don't flip)",yes,350,low,"Diagnostics should be shorter than centrepiece","Diagnostics shorter than centrepiece results"
Results,sec:integrated-summary,Integrated summary,"Five numbered take-aways re-state numbers already reported + in claims table","repeated numerical narration","Cut the five-number recap to 1-2 sentences; keep the unifying rule, closing sentence, and claims table","signal-flow rule, verbatim regime-map closing sentence, tab:final-claims",no,180,low,"Numbers already given earlier and in the table","Do not duplicate the table in prose"
Results,sec:limitations,Limitations,"Overlaps the merged Discussion 6 limitations","duplicate caveat block","Centralise limitations in Discussion; keep 2-sentence pointer in Results (or remove)","single-dataset, n=3, runtime-divergence caveats (somewhere)",no,120,medium,"Same caveats appear in 5.9 and Ch6","Centralise caveats"
Methods,sec:method-problem,Problem formulation and notation,"Heterogeneity-definition paragraph restates 4.2 three-axes framing","duplicate framing across sections","Fold the het-definition overlap into 4.2; keep notation + signal-flow + L1/L4 + metric","FedAvg aggregation line, signal-flow rule, RARE_IDX",no,90,low,"4.1 and 4.2 cover overlapping framing","Each section earns its place"
Methods,sec:method-dataset,Dataset and rare-class motivation,"Imbalance numbers stated here AND in Results 5.1","duplicated facts across chapters","Keep full statement here; cut the duplicate in 5.1","class supports, RARE_IDX, majority-attractor",no,0,low,"Methods is the right home for dataset facts","Define once"
Methods,sec:method-partitions,Client partition designs,"Figure captions (145w) repeat construction prose; per-client size vector is operational","overlong caption; operational detail","Trim captions to self-contained description; drop or relegate the per-client size vector","L1/L4 design logic, FedProx-favouring honesty note",no,90,low,"Caption duplicates prose","Captions describe, don't re-argue"
Methods,sec:method-protocols,System het and partial-update protocols,"Six sub-paragraphs re-describe designs Results also describe; inline run-identifiers","operational provenance detail; repeated design description","Consolidate six sub-paras to ~3; drop inline run-identifiers from prose","drop-vs-gamma protocol-not-optimiser, omitted-cell caveat",partial,150,medium,"Results restates each cell when used","Methods justifies design, not every artefact"
Methods,sec:method-runtimes,Runtimes and implementation provenance,"Saved-artefact filename inventory is operational","operational provenance detail","Move artefact filename list to a footnote/appendix; keep 'Flower central / pure-PyTorch direction-only' rule","runtime-divergence rule + caveat",yes,80,low,"Filenames are repo-manual detail","Omit operational detail from main text"
Methods,sec:method-roadmap,Experiment families and Results roadmap,"Prose re-describes the dense table's grouping","table already carries content; mechanism better as diagram","Cut prose to 2 sentences, or replace prose+table with a roadmap diagram","the Methods->Results bridge (one form of it)",no,120,low,"Prose and table say the same thing","Introduce a table, don't narrate it"
Methods,sec:method-summary,Methods summary,"Re-states 4.1/4.2/4.11; example has no Methods summary","whole-section restatement","Cut to 2-3 sentences or remove; fold regime-map sentence into 4.2","the one-line regime-map framing",no,150,low,"Pure restatement","Omit redundant summaries"
